ProcessName,Description,AppType,Modules,Allocation,Status,Target Date
renewelTitleLoan,renewe TLP,QFund,LoanTransactions_TitleLoan_PR,Vivek,Delete,
rescindLoan,rescind PDL Origination,QFund,LoanTransactions_Transactions_Rescind_PR,Gowri,Delete,
titleAmortization,TLP Amortization,QFund,LoanTransactions_TitleLoan_PR,Vivek,Delete,
titleLoan,TLP Orgination,QFund,LoanTransactions_TitleLoan_PR,Vivek,Complete,
titleLoanOverview,TLP Overview,QFund,LoanTransactions_TitleLoan_PR,Vivek,Delete,
titleOutToRepo,title Repossession (Out to Repo),QFund,AdminTransaction_Repossession_OutToRepo_PR,Lee,Delete,
titleOutToRepoVoid,title Repossession (Out to Repo Void),QFund,AdminTransaction_Repossession_OutToRepoVoid_PR,Lee,Delete,
titleRepossession,title Repossession (Repossession),QFund,AdminTransaction_Repossession_Repossession_PR,Lee,Delete,
titlePostDefaultTransactions,title PostDefaultTransactions,QFund,AdminTransactions_Title_PostDefaultTransactions_PR,Srikanth,Complete,25-Oct-18
titleTransactions,title Transactions,QFund,LoanTransactions_Transactions_Title_PR,Srikanth,Complete,25-Oct-18
transactions_LoanHistory,Transaction History,QFund,CustomerLoanHistory_PR,Manish,Complete,29-Jun-18
transactionsVehicleConReport,TLP Vehicle Condition Report,QFund,VehicleConditionReport_PR,Manish,Complete,29-Jun-18
transactionHistory_get,Fetch values from transactionHistory and store values,QFund,CustomerLoanHistory_PR,Gowri,Complete,
titleVehicleConditionReport,TLP Vehicle Condition Report,QFund,LoanTransactions_TitleLoan_PR,Manish,Delete,29-Jun-18
vehicledetailsVINvalidation,VINvalidation in TLP,QFund,LoanTransactions_TitleLoan_PR,Vivek,Delete,
voidPayDayLoan,Void PDL Origination,QFund,PayDayLoan_Void_PR,Gowri,Complete,
voidPayDayPayment,Void PDL Payment,QFund,PayDayVoidPayment_PR,Gowri,Complete,
voidPayment,Void TLP Payment,QFund,LoanTransactions_Transactions_Void_PR,Vivek,Complete,
voidRescindTitleLoan,Void or Rescind TLP Orgination,QFund,TitleLoan_VoidResind_PR,Vivek,Complete,
LoanDecisioningProcess,Loan decisiong for all Loan,QFund,LoanDecisioning_PR,Gowri,Complete,
storeStatusChange,Change store status from closed to open,QFund,AdminTransaction_QAJobs_ProcessDateChange_PR,Gowri,Complete,
RPPEnrolment,PDL rpp enrollment,QFund,PayDayLoan_PR,Gowri,Complete,
rPPPayment,PDL RPP payment and partial payment,QFund,PayDay_PartialPayment_PR,Gowri,Complete,
locPaymentsMoneyOrder,LOC Payment via MoneyOrder,QFund,LoanTransaction_NewLoan_LOC_Payments_MoneyOrder_PR,Manish,Complete,
emailDocumentDelivery,Checking the Email Constent in the TR History,QFund,CustomerLoanHistory_PR,Vivek,Complete,
voidRPPEnrolment,Voiding RPP plan,QFund,PayDayLoan_PR,Gowri,Complete,
vinValidation,VIN Validation to check the details of the Title,QFund,LoanTransactions_VINValidation_PR,Vivek,Complete,
voidRppPaymentPlan,Voiding RPP Payments,QFund,PayDayVoidPayment_PR,Gowri,Complete,
scheduleACH,PDL Scheduling ACH for Customer,QFund,PayDayLoan_PR,Gowri,Complete,
titleTracking,This script handles title Tracking,QFund,LoanTransactions_TitleTracking_PR,Manish,Complete,
initiateRPPdefaultReturn,RPP Default Return,QFund,PayDayLoan_PR,Gowri,Complete,
checkACHStatus,PDL ACHStatus,QFund,PayDayLoan_PR,Gowri,Complete,
achLoanTransactions,PDL ACH Transactions,QFund,LoanTransactions_Transactions_ACHTransactions_PR,Srikanth,Complete,
